lichess_id,ply,result,player,player_elo,time_scramble_bracket
zywnFzKy,97,1-0,White,2338,<=5s vs <=5s
ZXQmvdMG,63,1-0,White,1910,<=5s vs <=5s
Xq6i9aGk,90,0-1,Black,1881,<=5s vs 5-10s
UzlyXiru,72,1-0,Black,2049,<=5s vs <=5s
MyCfxHgI,33,0-1,White,873,<=5s vs 5-10s
oi1zPKrQ,108,0-1,Black,1974,<=5s vs <=5s
IMzyuz6y,135,1-0,White,2908,<=5s vs <=5s
dd3Ds4Q3,58,0-1,Black,1315,<=5s vs 15-20s
EG80r3Mk,32,0-1,Black,966,<=5s vs 15-20s
IrOErtMz,51,1-0,White,2062,<=5s vs 15-20s
5iprrFNr,52,0-1,Black,1851,<=5s vs 15-20s
PjRcpL5h,72,0-1,Black,2231,<=5s vs 5-10s
qHVfVa6W,40,0-1,Black,828,<=5s vs <=5s
F2rzIYmO,71,1-0,White,1852,<=5s vs 15-20s
x8dBrU7t,72,1-0,Black,2323,<=5s vs <=5s
b3IdPwMZ,94,0-1,Black,2222,<=5s vs 5-10s
XcK4H09R,49,1-0,White,1133,<=5s vs 10-15s
kVpjR0I4,66,0-1,Black,2549,<=5s vs <=5s
vWfdRBbl,65,1-0,White,1666,<=5s vs 5-10s
YXlgcQcq,127,0-1,White,2315,<=5s vs <=5s
FVTNjKBU,57,1-0,White,1379,<=5s vs <=5s
1TWZzKQh,64,1-0,Black,2425,<=5s vs <=5s
YFaXEckH,68,0-1,Black,2130,<=5s vs 10-15s
lGgB9NNd,65,0-1,White,1741,<=5s vs <=5s
M2U1Q4Ys,113,0-1,White,1945,<=5s vs <=5s
OXwyDlIr,98,1-0,Black,2344,<=5s vs <=5s
UjilEeTG,83,0-1,White,2606,<=5s vs <=5s
VPuUhE9s,98,0-1,Black,2326,<=5s vs <=5s
vm1GR3vQ,65,1-0,White,1020,<=5s vs <=5s
x92rfLMI,95,0-1,White,2574,<=5s vs 10-15s
6T18mfeF,72,0-1,Black,1775,<=5s vs 10-15s
E2f7VKuz,85,1-0,White,1500,<=5s vs <=5s
yIK3g5Wf,80,0-1,Black,1961,<=5s vs 15-20s
EGOkLXyG,86,0-1,Black,2201,<=5s vs 5-10s
d0utuVIc,75,1-0,White,2170,<=5s vs <=5s
lGprUmus,80,1-0,Black,1838,<=5s vs <=5s
gNc2geZw,55,1-0,White,1357,<=5s vs <=5s
KmFXbihm,90,0-1,Black,2076,<=5s vs 5-10s
81l754Ux,105,1-0,White,2434,<=5s vs 10-15s
iIsZHyeC,67,1-0,White,1593,<=5s vs 10-15s
8tmcO28j,65,1-0,White,1738,<=5s vs 15-20s
3xmHDkHf,85,1-0,White,2271,<=5s vs 10-15s
fbyN9fGs,73,1-0,White,1745,<=5s vs <=5s
8PhWfK52,116,0-1,Black,2667,<=5s vs <=5s
DBW9a6tq,89,0-1,White,1893,<=5s vs <=5s
0fUDmp9u,92,1-0,Black,1565,<=5s vs <=5s
9Mah1Ae9,132,0-1,Black,1622,<=5s vs <=5s
gG5rF6L5,129,0-1,White,2143,<=5s vs <=5s
VbFUhE5w,84,0-1,Black,1527,<=5s vs <=5s
iWlz361O,80,0-1,Black,1762,<=5s vs 5-10s
ds8OSRRP,86,0-1,Black,1924,<=5s vs <=5s
8seFN9tH,73,0-1,White,1939,<=5s vs <=5s
bF1l6XBZ,71,0-1,White,1665,<=5s vs <=5s
LzBHDaux,71,1-0,White,1293,<=5s vs 5-10s
AcxTL3Ga,73,1-0,White,1224,<=5s vs <=5s
YDapWScl,89,1-0,White,2239,<=5s vs <=5s
cJbfiuBo,75,1-0,White,2638,<=5s vs 5-10s
3G8VWtTe,75,0-1,White,1610,<=5s vs <=5s
E126Y2ZR,67,1-0,White,1959,<=5s vs 15-20s
EPwb6oYz,82,1-0,Black,2316,<=5s vs <=5s
jrjtmrYu,61,1-0,White,1219,<=5s vs <=5s
wBaHiDMq,86,0-1,Black,2548,<=5s vs 5-10s
GIbYr3md,64,0-1,Black,1441,<=5s vs <=5s
zECePzCo,102,1-0,Black,2176,<=5s vs <=5s
C9sHDzVf,63,0-1,White,1459,<=5s vs <=5s
iDmAdGXf,114,1-0,Black,1774,<=5s vs <=5s
PGC2L1d7,71,0-1,White,2050,<=5s vs <=5s
NjUzoBdc,84,1-0,Black,2354,<=5s vs <=5s
oNtomugs,89,0-1,White,1392,<=5s vs <=5s
h9T9h5n4,59,0-1,White,943,<=5s vs 10-15s
RYYlNaYF,79,1-0,White,2067,<=5s vs 5-10s
26KHiQXQ,63,1-0,White,1671,<=5s vs 10-15s
JEpQ4U6Y,96,0-1,Black,2515,<=5s vs <=5s
PWlzlAlg,102,1-0,Black,2078,<=5s vs <=5s
iT2luEkp,74,0-1,Black,1945,<=5s vs <=5s
FNcZuGke,64,0-1,Black,1336,<=5s vs 15-20s
7VA9tK7F,77,0-1,White,1849,<=5s vs <=5s
k2ELSuoV,176,1/2-1/2,Black,1907,<=5s vs <=5s
bftwbDbf,71,1-0,White,1952,<=5s vs 5-10s
50aUTQEK,97,1-0,White,1628,<=5s vs 5-10s
Oh8VLSiS,54,0-1,Black,1231,<=5s vs 15-20s
MILRpDb9,61,1-0,White,1308,<=5s vs <=5s
jIlKtaJh,73,1-0,White,1259,<=5s vs <=5s
6rI8rnvy,134,0-1,Black,1816,<=5s vs <=5s
6cpVoQap,65,1-0,White,1354,<=5s vs 10-15s
lnCuAlQP,84,0-1,Black,1347,<=5s vs <=5s
owzezvVi,85,1-0,White,1465,<=5s vs 5-10s
Tj5uHuVF,107,1-0,White,2500,<=5s vs 10-15s
QpwXnE27,73,1-0,White,1371,<=5s vs <=5s
SDS3E6n1,84,1-0,Black,1381,<=5s vs <=5s
rJen9CKl,83,1-0,White,2005,<=5s vs <=5s
UNUj8xh0,57,1-0,White,1597,<=5s vs 5-10s
uxTTRLug,97,1-0,White,2008,<=5s vs <=5s
IZsADUIz,52,0-1,Black,1176,<=5s vs 5-10s
44nnpMu5,81,0-1,White,2268,<=5s vs 5-10s
DpNRoiWq,85,1-0,White,2478,<=5s vs 5-10s
7Ptmxn9k,94,0-1,Black,1607,<=5s vs 5-10s
lChdlGoE,79,1-0,White,1715,<=5s vs 5-10s
6tlwVMLZ,85,1-0,White,1863,<=5s vs <=5s
Fc6aPT0V,111,0-1,White,2598,<=5s vs <=5s
ICk9BmTC,105,1-0,White,2339,<=5s vs 5-10s
1EP2pZY3,91,1-0,White,2209,<=5s vs <=5s
NyCpMziz,71,0-1,White,1981,<=5s vs <=5s
aXEVbwVZ,79,0-1,White,2412,<=5s vs 5-10s
5il47Qvo,92,0-1,Black,2375,<=5s vs 5-10s
1YLTxOEe,58,0-1,Black,1213,<=5s vs <=5s
KlmDGLvw,62,0-1,Black,1018,<=5s vs <=5s
TggXmixs,86,0-1,Black,2260,<=5s vs 10-15s
CEMuXpx3,97,1-0,White,2466,<=5s vs <=5s
92yLAF82,87,0-1,White,2439,<=5s vs <=5s
bZKmMy69,68,0-1,Black,1260,<=5s vs 10-15s
PV4mANvQ,68,0-1,Black,1954,<=5s vs 10-15s
5qQtxPge,62,0-1,Black,935,<=5s vs 15-20s
CagGPnxq,80,0-1,Black,2515,<=5s vs 5-10s
2h8gBvGD,75,1-0,White,2364,<=5s vs <=5s
GLwKPV0c,135,1-0,White,2476,<=5s vs <=5s
1KubDM2S,84,0-1,Black,2084,<=5s vs 10-15s
OtGHyWWO,93,1-0,White,2318,<=5s vs 5-10s
T4taFYHt,97,1-0,White,2570,<=5s vs <=5s
wujyTdQF,59,1-0,White,1754,<=5s vs 5-10s
2p2GHiYW,86,0-1,Black,2183,<=5s vs 5-10s
XYATZQzE,57,0-1,White,1491,<=5s vs <=5s
5AytiQbh,64,1-0,Black,1488,<=5s vs <=5s
K30Uk2Qp,57,1-0,White,1762,<=5s vs <=5s
RHjZkXu3,130,0-1,Black,2236,<=5s vs <=5s
FhkGP0hZ,73,0-1,White,2224,<=5s vs <=5s
cfk4aswc,57,1-0,White,1581,<=5s vs <=5s
cn69SLz3,69,1-0,White,1450,<=5s vs 15-20s
jt8NHOgA,48,0-1,Black,1408,<=5s vs <=5s
C0TDhIyR,211,0-1,White,2658,<=5s vs <=5s
01rxmeKC,108,0-1,Black,2127,<=5s vs 5-10s
eodUTvxn,75,1-0,White,2258,<=5s vs 10-15s
sKWUn2PX,121,0-1,White,2546,<=5s vs <=5s
FDzgnoXK,152,0-1,Black,2316,<=5s vs <=5s
Vw02mecr,69,1-0,White,1673,<=5s vs 15-20s
UKWImQu3,75,0-1,White,1284,<=5s vs <=5s
g6FR2NB3,51,1-0,White,976,<=5s vs 5-10s
DAxUf1Js,84,1-0,Black,1333,<=5s vs <=5s
5LkVAU7B,48,0-1,Black,1689,<=5s vs <=5s
K8HKg8cS,98,1-0,Black,2102,<=5s vs <=5s
wOdVKMgD,82,0-1,Black,1794,<=5s vs 5-10s
eoc6beZv,129,0-1,White,1944,<=5s vs <=5s
DeBmDcav,70,0-1,Black,2475,<=5s vs 5-10s
cO5HQ81N,71,1-0,White,1529,<=5s vs 5-10s
XHQLJiDt,128,0-1,Black,2182,<=5s vs <=5s
DnRr6lpA,61,1-0,White,2475,<=5s vs 10-15s
pjKBB38f,95,0-1,White,2600,<=5s vs <=5s
1F5ERMDO,96,0-1,Black,2324,<=5s vs <=5s
swvA6b7e,86,0-1,Black,2251,<=5s vs 5-10s
GnlIX4NC,98,0-1,Black,1684,<=5s vs <=5s
GxNtkGha,86,0-1,Black,1455,<=5s vs <=5s
U9UaHEAE,51,1-0,White,1897,<=5s vs 5-10s
8RDRIIJv,103,1-0,White,2315,<=5s vs <=5s
Ys6CM17M,116,1/2-1/2,Black,2112,<=5s vs <=5s
KIdoaBH9,57,1-0,White,1373,<=5s vs 15-20s
mRX97vAE,108,0-1,Black,2275,<=5s vs 5-10s
Yw8HvpY5,77,1-0,White,1706,<=5s vs 5-10s
TdL6YdEX,83,0-1,White,1918,<=5s vs <=5s
DXk8YD2Z,64,1-0,Black,2180,<=5s vs <=5s
ZKZvorQv,86,1/2-1/2,Black,1895,<=5s vs 10-15s
iyogPuXW,35,0-1,White,904,<=5s vs 10-15s
hDNCdBES,49,1-0,White,1044,<=5s vs 15-20s
CRmfMiom,61,1-0,White,1450,<=5s vs 5-10s
7dYeWZhu,66,1-0,Black,1174,<=5s vs <=5s
VW6SUrIJ,94,1-0,Black,2328,<=5s vs <=5s
2zkZPL0G,98,1/2-1/2,Black,1742,<=5s vs <=5s
AiKOJRsW,65,0-1,White,2140,<=5s vs <=5s
rzhHfO4e,54,0-1,Black,1275,<=5s vs <=5s
7yZm2wGU,63,0-1,White,1398,<=5s vs <=5s
jBAhNAFt,101,0-1,White,1867,<=5s vs <=5s
tAsuB7Bz,78,0-1,Black,2055,<=5s vs <=5s
FbPUHB7s,107,1/2-1/2,White,2340,<=5s vs <=5s
tKSWmebf,78,1-0,Black,2177,<=5s vs 5-10s
uwPf9U9h,49,1-0,White,783,<=5s vs 10-15s
yyEEfdal,56,0-1,Black,1178,<=5s vs <=5s
SxXhmOar,151,1-0,White,2462,<=5s vs 5-10s
iGQshTnz,47,0-1,White,1512,<=5s vs <=5s
bV0wLF7U,130,1-0,Black,2097,<=5s vs <=5s
4BRTYT8a,65,1-0,White,807,<=5s vs <=5s
KGJAFWvM,74,0-1,Black,2578,<=5s vs <=5s
9raQub16,48,0-1,Black,977,<=5s vs 10-15s
XsXYVceL,90,0-1,Black,2626,<=5s vs 10-15s
BELEfqbx,89,1-0,White,1996,<=5s vs 10-15s
5lJEB1yv,118,0-1,Black,2447,<=5s vs <=5s
GDA3rOhD,78,0-1,Black,2141,<=5s vs <=5s
cnZPsqr1,50,0-1,Black,1888,<=5s vs 10-15s
DGMA9t5t,63,1-0,White,1304,<=5s vs 10-15s
EmJuTn4t,67,1-0,White,1699,<=5s vs <=5s
QStsWBc9,124,0-1,Black,2317,<=5s vs <=5s
0cPsgRc4,95,1-0,White,2259,<=5s vs 5-10s
Ffo8m21w,92,0-1,Black,2159,<=5s vs 5-10s
WDUhH3K0,65,1-0,White,2363,<=5s vs 5-10s
PTeK3yHr,76,0-1,Black,1357,<=5s vs 5-10s
8uASkQhZ,84,0-1,Black,1780,<=5s vs <=5s
8PKqulYx,91,0-1,White,2080,<=5s vs <=5s
54m9pRwe,96,0-1,Black,1940,<=5s vs 5-10s
Da8o02Qv,88,0-1,Black,2237,<=5s vs 5-10s
3la4NJ4F,58,0-1,Black,961,<=5s vs <=5s
cruho4Ke,56,0-1,Black,1914,<=5s vs 5-10s
LJ6xT21B,103,1-0,White,1918,<=5s vs 5-10s
k1Db8p2h,85,1-0,White,2560,<=5s vs <=5s
FNsXQm7f,70,0-1,Black,1871,<=5s vs <=5s
6JRN3cbv,92,0-1,Black,1972,<=5s vs <=5s
7fMSwIOz,76,0-1,Black,2291,<=5s vs 10-15s
df0k6FWq,58,1-0,Black,777,<=5s vs <=5s
UxSqocgv,85,1-0,White,2220,<=5s vs <=5s
gb2rz6Ht,38,0-1,Black,748,<=5s vs 15-20s
1kxEvqK6,98,1-0,Black,2204,<=5s vs <=5s
HUWuFPEm,78,0-1,Black,2224,<=5s vs <=5s
RHcG376D,42,0-1,Black,1243,<=5s vs 15-20s
BpgDeq9d,73,0-1,White,1861,<=5s vs <=5s
CUY0Nqjv,114,0-1,Black,2556,<=5s vs <=5s
6bscejFg,99,1-0,White,2033,<=5s vs 10-15s
BX2Oz4gA,79,1/2-1/2,White,2491,<=5s vs 10-15s
PsYyTaE7,103,1-0,White,2252,<=5s vs <=5s
RZUnVXhU,74,0-1,Black,1568,<=5s vs 5-10s
6ySmWbcd,102,0-1,Black,2034,<=5s vs 5-10s
30a8YSNE,82,0-1,Black,1929,<=5s vs <=5s
40fS3mRR,53,1-0,White,1536,<=5s vs 15-20s
kqnRt1Gj,98,0-1,Black,1836,<=5s vs <=5s
9muanb1c,50,0-1,Black,1173,<=5s vs 5-10s
940i9BRA,91,1-0,White,1646,<=5s vs <=5s
c9ZnUswl,81,0-1,White,2114,<=5s vs <=5s
UmGaVTLE,99,1-0,White,2413,<=5s vs 10-15s
cAB7rjyy,56,0-1,Black,2496,<=5s vs <=5s
TFTAOrM9,107,1-0,White,2432,<=5s vs <=5s
9wZYff6l,87,0-1,White,1900,<=5s vs <=5s
0M9ihLEJ,101,0-1,White,2681,<=5s vs <=5s
MCYIgzpO,94,0-1,Black,1381,<=5s vs <=5s
KztKCjsB,124,0-1,Black,2289,<=5s vs <=5s
QixUzkig,90,1-0,Black,2222,<=5s vs <=5s
6syrKKGk,116,1-0,Black,2384,<=5s vs <=5s
P1cE8sfK,117,1-0,White,2661,<=5s vs <=5s
PeM2tYga,57,1-0,White,2174,<=5s vs <=5s
OlCpDfMw,84,0-1,Black,2005,<=5s vs 15-20s
x6jhhcq9,130,1-0,Black,2682,<=5s vs <=5s
vEgVeqeA,87,0-1,White,2278,<=5s vs <=5s
H8GwSFPx,90,0-1,Black,2505,<=5s vs 5-10s
SMImNIbY,122,0-1,Black,1931,<=5s vs <=5s
WtiXqIF1,146,0-1,Black,1857,<=5s vs 15-20s
CkYjfxeb,86,1-0,Black,2130,<=5s vs <=5s
C4tNyGHQ,78,0-1,Black,1708,<=5s vs <=5s
fI9novbO,64,1-0,Black,1767,<=5s vs <=5s
XjwawDCZ,111,1-0,White,2617,<=5s vs <=5s
plUhl558,102,1-0,Black,2260,<=5s vs <=5s
AIqwsuFJ,116,1-0,Black,1727,<=5s vs <=5s
NFSGt4U1,60,0-1,Black,1346,<=5s vs <=5s
guM8VaJv,86,0-1,Black,2663,<=5s vs 10-15s
26ij1oWf,33,1-0,White,1042,<=5s vs 10-15s
S2mxpAfn,88,1-0,Black,1370,<=5s vs 5-10s
5ligP6pj,76,1-0,Black,1825,<=5s vs <=5s
KhXKH9gg,64,1-0,Black,1506,<=5s vs <=5s
C3fqDjgN,68,0-1,Black,1374,<=5s vs 5-10s
8OpHcHgb,90,0-1,Black,962,<=5s vs 5-10s
B4cUaxNq,99,1-0,White,2270,<=5s vs <=5s
nnhMSQ2R,91,1-0,White,2253,<=5s vs <=5s
NYAwwYuz,82,0-1,Black,1373,<=5s vs <=5s
vBvmgcTw,103,0-1,White,2283,<=5s vs <=5s
SGG3cNBP,102,1-0,Black,2391,<=5s vs <=5s
9cmIcb0U,59,1-0,White,1906,<=5s vs 10-15s
benDJVFU,91,1-0,White,2532,<=5s vs <=5s
H34WNumk,71,1-0,White,1836,<=5s vs <=5s
Au1ITx8u,96,1-0,Black,1927,<=5s vs <=5s
A2xdStb0,102,0-1,Black,2176,<=5s vs <=5s
79BGq02E,80,0-1,Black,2266,<=5s vs 10-15s
U7Ic12hX,87,0-1,White,2171,<=5s vs <=5s
U3HP0Xjg,91,1-0,White,2373,<=5s vs 5-10s
CsNFXqyw,64,0-1,Black,2201,<=5s vs 5-10s
VIbo5RMQ,72,1-0,Black,1987,<=5s vs <=5s
kEQmB1ls,44,0-1,Black,887,<=5s vs 10-15s
MHRhGczE,95,1-0,White,2451,<=5s vs 10-15s
t7nu3h4F,52,0-1,Black,886,<=5s vs 10-15s
qZI8mQX0,107,1-0,White,2566,<=5s vs 5-10s
chOsGXKE,115,1-0,White,2719,<=5s vs <=5s
VuOApxoI,53,1-0,White,1532,<=5s vs 15-20s
N0AaP2KD,52,0-1,Black,1807,<=5s vs 15-20s
ZgMvwuZd,75,1-0,White,2437,<=5s vs 5-10s
0ikkL8qt,61,1-0,White,1848,<=5s vs <=5s
Hql4UUtA,119,0-1,White,3075,<=5s vs 5-10s
kKv8362k,62,0-1,Black,1153,<=5s vs 5-10s
IpqFoJU3,97,0-1,White,2333,<=5s vs 5-10s
qIMtpbzd,72,0-1,Black,912,<=5s vs <=5s
6jz6a1dF,135,1-0,White,2393,<=5s vs <=5s
OdsuTRaG,67,1-0,White,1958,<=5s vs <=5s
I0yJBYDK,87,1-0,White,1758,<=5s vs <=5s
lLmRQK0T,108,0-1,Black,2376,<=5s vs <=5s
BctN7Vwb,104,0-1,Black,1926,<=5s vs <=5s
Q0NXHg2R,40,0-1,Black,819,<=5s vs <=5s
ICaRNPq0,94,1-0,Black,1691,<=5s vs <=5s
al1ZWJOq,63,1-0,White,1596,<=5s vs <=5s
GWhVnTF8,64,0-1,Black,2061,<=5s vs 15-20s
Ma35YqJt,57,1-0,White,1076,<=5s vs <=5s
c4bqAJ5f,151,1/2-1/2,White,2217,<=5s vs <=5s
Cb58ejPL,81,0-1,White,1337,<=5s vs 5-10s
8UPzJSVi,70,0-1,Black,1340,<=5s vs <=5s
fe3MsixY,97,0-1,White,2014,<=5s vs <=5s
eh6G3kX1,57,1-0,White,1553,<=5s vs <=5s
iO0QuyxT,59,0-1,White,1574,<=5s vs 10-15s
j2eBrFwr,74,0-1,Black,1602,<=5s vs <=5s
9JIq8HWk,60,0-1,Black,1588,<=5s vs <=5s
tZoZRVuP,107,1-0,White,2495,<=5s vs <=5s
9h7Q9AI1,67,1-0,White,1189,<=5s vs <=5s
VH32oSQb,46,0-1,Black,1076,<=5s vs 5-10s
83onulNH,40,0-1,Black,1120,<=5s vs 10-15s
PdaFniuS,73,1-0,White,1257,<=5s vs 5-10s
eeTa0KxJ,83,1-0,White,1344,<=5s vs 15-20s
E59LOVmH,69,1-0,White,896,<=5s vs <=5s
yTLOQZYr,123,1-0,White,2022,<=5s vs <=5s
EcBD3S2g,70,0-1,Black,1975,<=5s vs 5-10s
cDSmEQXc,84,0-1,Black,1101,<=5s vs <=5s
Fqy5MNpF,72,0-1,Black,2224,<=5s vs <=5s
7Uzse4vW,68,0-1,Black,1383,<=5s vs 5-10s
0ifWYXmQ,83,1-0,White,2079,<=5s vs 10-15s
BNcci4tY,86,0-1,Black,2399,<=5s vs 5-10s
fFYrqCWu,111,1-0,White,1834,<=5s vs 10-15s
amMlyL7Y,85,1-0,White,1564,<=5s vs 5-10s
W1vuVNtH,127,0-1,White,2629,<=5s vs <=5s
zH6yybJl,101,0-1,White,2315,<=5s vs <=5s
gq1Qm1xb,37,0-1,White,1007,<=5s vs 5-10s
MuAjcA3l,122,1-0,Black,2378,<=5s vs <=5s
4zWP5Yde,107,0-1,White,2433,<=5s vs <=5s
k9OVirsW,107,1-0,White,1937,<=5s vs 5-10s
LNlJVdz2,82,0-1,Black,2438,<=5s vs 5-10s
NLKEhMPT,101,0-1,White,1826,<=5s vs <=5s
BIiJydxb,56,0-1,Black,1541,<=5s vs 5-10s
wfx37JLq,56,0-1,Black,867,<=5s vs 10-15s
fjMT6RvT,102,0-1,Black,1930,<=5s vs 10-15s
Jex0u7x1,77,1-0,White,1107,<=5s vs <=5s
YN7PQIke,65,0-1,White,2387,<=5s vs <=5s
U1vLQYgb,102,1-0,Black,2501,<=5s vs <=5s
2WfXOIcy,33,1-0,White,2618,<=5s vs 15-20s
EjvZY23g,93,0-1,White,2558,<=5s vs <=5s
vH8gbzuN,91,0-1,White,1958,<=5s vs <=5s
WVhAf2LG,76,0-1,Black,1747,<=5s vs 10-15s
5V5B47JK,71,1-0,White,1421,<=5s vs <=5s
jPHnlIpg,116,0-1,Black,2078,<=5s vs <=5s
OKppEWq9,155,0-1,White,3087,<=5s vs <=5s
SG2IoNU4,67,1-0,White,1061,<=5s vs 5-10s
HMSrCc0K,88,0-1,Black,2162,<=5s vs 5-10s
Cimw19aM,102,0-1,Black,2141,<=5s vs <=5s
Yp3RiX2s,133,1-0,White,2642,<=5s vs 5-10s
4lWCsYdR,87,1-0,White,2166,<=5s vs 5-10s
PWioeJtc,59,1-0,White,1839,<=5s vs 5-10s
VeifvwTO,80,1-0,Black,1717,<=5s vs <=5s
ClvplV8Z,143,1-0,White,2293,<=5s vs <=5s
GOfhKLrC,103,1-0,White,2466,<=5s vs <=5s
a3mvEu0V,85,1-0,White,1582,<=5s vs 5-10s
19Y5JQes,91,1-0,White,2096,<=5s vs 10-15s
9TC59zXC,114,1-0,Black,2451,<=5s vs <=5s
1ExS7svq,86,0-1,Black,2275,<=5s vs <=5s
5GI9MTVD,88,0-1,Black,2490,<=5s vs <=5s
F42qFVV5,85,1-0,White,2202,<=5s vs <=5s
BY0y7X6L,167,0-1,White,2478,<=5s vs <=5s
ntT2DONf,85,1-0,White,1516,<=5s vs 5-10s
ZEFChDfi,75,0-1,White,2414,<=5s vs <=5s
ofQ1UUky,100,1-0,Black,1309,<=5s vs <=5s
SF1HYcG5,100,0-1,Black,1629,<=5s vs <=5s
3qLt0tls,110,0-1,Black,2027,<=5s vs <=5s
IIYxgEdl,75,1-0,White,2255,<=5s vs 10-15s
dmTqBvTN,31,1-0,White,880,<=5s vs 5-10s
XXiIEPe8,91,0-1,White,1580,<=5s vs <=5s
rFZslGQo,88,0-1,Black,2062,<=5s vs <=5s
JJ81PGtm,60,0-1,Black,1706,<=5s vs 10-15s
HcEDSUMy,85,1/2-1/2,White,2290,<=5s vs 5-10s
vm3JaSVo,123,0-1,White,2548,<=5s vs <=5s
eGJWd7cS,61,0-1,White,2287,<=5s vs <=5s
BbZVoP6X,91,1-0,White,1443,<=5s vs <=5s
82tumG5R,59,1-0,White,2026,<=5s vs <=5s
nTHx6EOB,79,1-0,White,2366,<=5s vs 10-15s
u8qKCWKE,79,0-1,White,1575,<=5s vs <=5s
XF0J47J0,74,1/2-1/2,Black,1476,<=5s vs 5-10s
9vRemYHZ,68,0-1,Black,1051,<=5s vs <=5s
d7WR1PGP,52,1/2-1/2,Black,1581,<=5s vs 5-10s
KPHPrGdC,82,0-1,Black,2278,<=5s vs 5-10s
MO44rryQ,110,1-0,Black,2300,<=5s vs <=5s
mFEQEVWj,65,1-0,White,2222,<=5s vs 5-10s
xEHLUzyI,71,0-1,White,1310,<=5s vs <=5s
YfgC4bCx,82,1-0,Black,1841,<=5s vs <=5s
FdKDRBq1,60,0-1,Black,1926,<=5s vs 5-10s
sBqqawHa,78,0-1,Black,1301,<=5s vs 5-10s
RkqqkUTC,85,1-0,White,1910,<=5s vs 5-10s
rA2UL2AG,50,0-1,Black,1219,<=5s vs 10-15s
D9qYMXvg,54,0-1,Black,1740,<=5s vs 5-10s
uUxLLNZ7,124,0-1,Black,1796,<=5s vs 15-20s
P4axSVmx,102,1-0,Black,2077,<=5s vs <=5s
cYrZQjSG,82,1-0,Black,2401,<=5s vs <=5s
BUqL0RuJ,99,1-0,White,1655,<=5s vs 10-15s
SvKfMdlf,30,0-1,Black,935,<=5s vs <=5s
EnoA2vqB,62,1-0,Black,1783,<=5s vs <=5s
G4G4lvtl,80,1-0,Black,2256,<=5s vs <=5s
PW9MftEU,88,0-1,Black,2467,<=5s vs <=5s
RirjvQlz,58,0-1,Black,2259,<=5s vs 10-15s
yapuzlxs,57,1-0,White,2353,<=5s vs 15-20s
ZDnvVv0B,100,1-0,Black,2455,<=5s vs <=5s
0zfoaDZh,126,0-1,Black,2419,<=5s vs <=5s
PBoVcETj,123,1/2-1/2,White,1890,<=5s vs 5-10s
TDqlKzRZ,100,0-1,Black,2258,<=5s vs <=5s
Rzt7LjF3,83,1-0,White,2120,<=5s vs <=5s
0BmllaMR,85,0-1,White,2162,<=5s vs <=5s
prsngdpE,103,0-1,White,2280,<=5s vs 5-10s
StspQJLk,93,1-0,White,1647,<=5s vs <=5s
1PTmfyxZ,61,1-0,White,1437,<=5s vs 10-15s
J8CTqxhX,89,0-1,White,2319,<=5s vs <=5s
WOJQj4tg,88,0-1,Black,1740,<=5s vs 5-10s
mCx1aka6,127,0-1,White,2359,<=5s vs <=5s
h7H83vS0,78,1-0,Black,1702,<=5s vs <=5s
AaLKd6vm,61,1-0,White,1671,<=5s vs <=5s
0oTB4pae,93,1-0,White,1646,<=5s vs <=5s
HFnKvehp,84,0-1,Black,2001,<=5s vs <=5s
AtBdGgCe,74,1/2-1/2,Black,2368,<=5s vs 5-10s
VZGuuLwe,73,1-0,White,1595,<=5s vs 5-10s
vbstBmv9,76,1-0,Black,2192,<=5s vs <=5s
vlvVWmy5,63,1-0,White,1224,<=5s vs <=5s
dNtcX1mu,61,1-0,White,1203,<=5s vs 15-20s
wRzQ5NBS,90,0-1,Black,1502,<=5s vs <=5s
H5V8HR0A,54,1-0,Black,2269,<=5s vs <=5s
ii7UIINz,139,0-1,White,2513,<=5s vs <=5s
mQND4iwA,54,0-1,Black,1390,<=5s vs 15-20s
rp5w4Rov,56,0-1,Black,1514,<=5s vs 15-20s
IdzC5j8x,95,1-0,White,1507,<=5s vs <=5s
ANPSe7tN,81,0-1,White,2303,<=5s vs <=5s
F8LVu06x,60,0-1,Black,1663,<=5s vs 15-20s
Ro0byTLa,76,1/2-1/2,Black,2544,<=5s vs 10-15s
6oQFIFnH,98,1-0,Black,2050,<=5s vs <=5s
tp2PUqlY,109,1-0,White,2108,<=5s vs <=5s
Yxooipxe,81,0-1,White,1272,<=5s vs <=5s
c2MCEydp,116,0-1,Black,2320,<=5s vs 5-10s
RBGaDw5b,60,0-1,Black,1249,<=5s vs 15-20s
F1Sc8UBb,65,1-0,White,1287,<=5s vs 5-10s
CRlDx9IX,93,0-1,White,1843,<=5s vs <=5s
SVOiggAH,81,0-1,White,2487,<=5s vs <=5s
74h4IP2s,100,0-1,Black,1841,<=5s vs <=5s
P8C3ckoF,101,0-1,White,2202,<=5s vs <=5s
7vO7bVmD,87,1/2-1/2,White,2419,<=5s vs 5-10s
jVB3z9Gh,66,0-1,Black,1309,<=5s vs 10-15s
8xriFAxV,80,1-0,Black,2251,<=5s vs <=5s
4A9rh1vw,63,1-0,White,1937,<=5s vs 5-10s
VRASTeiu,91,1-0,White,2454,<=5s vs 15-20s
CzghiUjF,60,0-1,Black,1185,<=5s vs <=5s
brVfuUEv,94,1-0,Black,2467,<=5s vs 5-10s
